Países,Código NCM,Descrição NCM,Unidade estatística,Ano,Valor_FOB_USD,Peso_Kg,Quantidade
Suécia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,16500,25000,20
Canadá,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,3650,792,0
Índia,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,167602,540098,540
Nova Zelândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,9667,4560,4
Reino Unido,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,38,0,0
Estados Unidos,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,51505,25154,24
Dinamarca,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,869326,1320578,1580
Austrália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,4533,2000,2
Suíça,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,649983,2160040,2160
China,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,29,7,7
Tailândia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,0,0,0
Dinamarca,22072019,Outro álcool etílico desnaturado,LITRO,2020,1598,214,216
Filipinas,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,0,0,0
Suíça,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,40,10,0
França,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,0,0,0
Malásia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,0,0,0
Índia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,0,0,0
Egito,17019900,"Outros açúcares de cana, beterraba, sacarose químicamente pura, sol.",TONELADA METRICA LIQUIDA,2020,0,0,0
Estados Unidos,22072019,Outro álcool etílico desnaturado,LITRO,2020,4509182,6248287,7750833
China,22072019,Outro álcool etílico desnaturado,LITRO,2020,514,58,59
Dinamarca,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,37,11,0
Tailândia,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,0,0,0
Tailândia,22072019,Outro álcool etílico desnaturado,LITRO,2020,1715,284,283
Índia,22072019,Outro álcool etílico desnaturado,LITRO,2020,35285,56735,71722
Alemanha,22072019,Outro álcool etílico desnaturado,LITRO,2020,264,22,30
Canadá,22072019,Outro álcool etílico desnaturado,LITRO,2020,41845,59064,73207
Filipinas,22072019,Outro álcool etílico desnaturado,LITRO,2020,249,60,89
Itália,22072019,Outro álcool etílico desnaturado,LITRO,2020,157839,236833,293589
Suécia,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,0,0,0
Suíça,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,0,0,0
China,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,0,0,0
Reino Unido,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,0,0,0
Filipinas,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,76,38,18
Itália,17011300,Açúcar de cana mencionado na nota 2 da posição 1701,TONELADA METRICA LIQUIDA,2020,0,0,0
França,22072019,Outro álcool etílico desnaturado,LITRO,2020,180138,118594,149561
Colômbia,22072019,Outro álcool etílico desnaturado,LITRO,2020,12937,10686,12800
Estados Unidos,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,159,1,1
Alemanha,22072020,Aguardente desnaturado com qualquer teor alcoólico,LITRO,2020,3,6,6
Nova Zelândia,22072019,Outro álcool etílico desnaturado,LITRO,2020,1,1,1
